StockTickerId,OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate
PFE,58.85,58.23,59.38,59.20,12/27/2021 12:00:00 AM
ATVI,65.24,65.00,65.73,65.45,12/27/2021 12:00:00 AM
ATVI,66.06,65.60,67.59,66.67,12/28/2021 12:00:00 AM
PFE,59.05,57.08,59.45,58.01,12/28/2021 12:00:00 AM
GOOG,148.37,145.94,148.37,146.45,12/28/2021 12:00:00 AM
F,20.66,20.59,21.06,20.76,12/28/2021 12:00:00 AM
F,20.71,20.45,20.77,20.56,12/29/2021 12:00:00 AM
GOOG,146.43,145.50,147.18,146.50,12/29/2021 12:00:00 AM
PFE,57.31,57.07,58.03,57.58,12/29/2021 12:00:00 AM
ATVI,66.57,66.19,67.18,67.16,12/29/2021 12:00:00 AM
ATVI,67.20,67.05,67.89,67.49,12/30/2021 12:00:00 AM
PFE,57.75,57.53,58.74,58.40,12/30/2021 12:00:00 AM
GOOG,146.45,145.76,147.06,146.00,12/30/2021 12:00:00 AM
F,20.59,20.47,20.96,20.47,12/30/2021 12:00:00 AM
F,20.46,20.46,21.01,20.77,12/31/2021 12:00:00 AM
GOOG,145.54,144.68,146.37,144.68,12/31/2021 12:00:00 AM
PFE,58.53,58.44,59.80,59.05,12/31/2021 12:00:00 AM
ATVI,67.32,66.30,67.64,66.53,12/31/2021 12:00:00 AM
ATVI,66.44,65.80,67.67,67.42,1/3/2022 12:00:00 AM
PFE,58.50,56.34,58.55,56.65,1/3/2022 12:00:00 AM
GOOG,144.48,143.50,145.55,145.07,1/3/2022 12:00:00 AM
F,21.27,21.06,21.88,21.77,1/3/2022 12:00:00 AM
F,22.52,22.42,24.56,24.31,1/4/2022 12:00:00 AM
GOOG,145.55,143.82,146.61,144.42,1/4/2022 12:00:00 AM
PFE,56.22,53.94,56.43,54.53,1/4/2022 12:00:00 AM
ATVI,67.84,66.93,68.01,67.20,1/4/2022 12:00:00 AM
ATVI,67.20,66.26,67.86,66.29,1/5/2022 12:00:00 AM
PFE,55.84,55.37,56.44,55.63,1/5/2022 12:00:00 AM
GOOG,144.18,137.52,144.30,137.65,1/5/2022 12:00:00 AM
F,24.06,23.47,24.95,23.66,1/5/2022 12:00:00 AM
F,24.09,23.36,24.62,24.46,1/6/2022 12:00:00 AM
GOOG,137.50,136.76,139.69,137.55,1/6/2022 12:00:00 AM
PFE,55.16,54.49,55.63,54.84,1/6/2022 12:00:00 AM
ATVI,66.16,63.71,66.26,63.82,1/6/2022 12:00:00 AM
ATVI,63.99,63.33,64.89,64.04,1/7/2022 12:00:00 AM
PFE,55.36,54.63,55.77,55.72,1/7/2022 12:00:00 AM
GOOG,137.91,135.79,138.25,137.00,1/7/2022 12:00:00 AM
F,24.67,24.04,24.91,24.44,1/7/2022 12:00:00 AM
F,24.10,23.35,24.44,23.85,1/10/2022 12:00:00 AM
GOOG,135.10,133.14,138.64,138.57,1/10/2022 12:00:00 AM
PFE,55.71,54.74,56.26,56.24,1/10/2022 12:00:00 AM
ATVI,63.89,61.99,64.24,63.11,1/10/2022 12:00:00 AM
ATVI,63.09,62.93,65.98,65.85,1/11/2022 12:00:00 AM
PFE,56.75,55.81,57.43,56.69,1/11/2022 12:00:00 AM
GOOG,138.18,136.81,140.33,140.02,1/11/2022 12:00:00 AM
F,23.78,23.28,24.35,24.35,1/11/2022 12:00:00 AM
F,24.61,24.01,24.84,24.47,1/12/2022 12:00:00 AM
GOOG,141.55,141.11,142.81,141.65,1/12/2022 12:00:00 AM
PFE,56.34,55.90,57.16,56.65,1/12/2022 12:00:00 AM
ATVI,65.23,63.81,65.54,64.81,1/12/2022 12:00:00 AM
ATVI,64.91,64.01,65.00,64.17,1/13/2022 12:00:00 AM
PFE,56.53,55.22,56.75,55.54,1/13/2022 12:00:00 AM
GOOG,141.84,138.91,143.19,139.13,1/13/2022 12:00:00 AM
F,24.64,24.37,25.87,25.02,1/13/2022 12:00:00 AM
F,24.47,24.30,25.28,25.19,1/14/2022 12:00:00 AM
GOOG,137.50,137.50,141.20,139.79,1/14/2022 12:00:00 AM
PFE,54.98,54.51,55.38,54.95,1/14/2022 12:00:00 AM
ATVI,63.99,62.99,65.54,65.39,1/14/2022 12:00:00 AM
ATVI,86.77,81.45,86.90,82.31,1/18/2022 12:00:00 AM
PFE,54.50,53.43,54.55,54.11,1/18/2022 12:00:00 AM
GOOG,136.60,135.62,137.39,136.29,1/18/2022 12:00:00 AM
F,24.87,24.30,25.13,24.38,1/18/2022 12:00:00 AM
F,24.65,22.41,24.92,22.45,1/19/2022 12:00:00 AM
GOOG,136.94,135.50,138.40,135.65,1/19/2022 12:00:00 AM
PFE,53.65,53.45,54.49,53.54,1/19/2022 12:00:00 AM
ATVI,82.64,81.50,83.06,82.15,1/19/2022 12:00:00 AM
ATVI,82.30,81.65,83.04,81.76,1/20/2022 12:00:00 AM
PFE,53.96,53.07,54.52,54.05,1/20/2022 12:00:00 AM
GOOG,136.51,133.14,137.91,133.51,1/20/2022 12:00:00 AM
F,21.88,21.57,22.88,21.65,1/20/2022 12:00:00 AM
F,21.21,20.54,21.50,20.65,1/21/2022 12:00:00 AM
GOOG,133.01,130.00,134.76,130.09,1/21/2022 12:00:00 AM
PFE,54.42,52.46,54.87,52.79,1/21/2022 12:00:00 AM
ATVI,81.91,81.15,82.00,81.35,1/21/2022 12:00:00 AM
ATVI,80.74,79.45,81.84,79.97,1/24/2022 12:00:00 AM
PFE,51.75,49.81,52.06,51.54,1/24/2022 12:00:00 AM
GOOG,126.03,124.64,130.78,130.37,1/24/2022 12:00:00 AM
F,19.93,18.80,20.47,20.39,1/24/2022 12:00:00 AM
F,20.00,19.56,20.31,19.98,1/25/2022 12:00:00 AM
GOOG,128.44,126.38,129.34,126.74,1/25/2022 12:00:00 AM
PFE,51.36,51.24,52.84,52.54,1/25/2022 12:00:00 AM
ATVI,79.75,79.01,80.59,79.12,1/25/2022 12:00:00 AM
ATVI,79.64,78.63,79.91,78.78,1/26/2022 12:00:00 AM
PFE,52.57,52.45,53.62,53.01,1/26/2022 12:00:00 AM
GOOG,130.59,127.15,132.81,129.24,1/26/2022 12:00:00 AM
F,21.01,19.57,21.04,19.91,1/26/2022 12:00:00 AM
F,20.31,19.41,20.65,19.55,1/27/2022 12:00:00 AM
GOOG,131.36,128.94,132.61,129.12,1/27/2022 12:00:00 AM
PFE,53.02,53.00,54.58,53.37,1/27/2022 12:00:00 AM
